year,make,model,sellingprice
2015,Kia,Sorento,21500
2015,Kia,Sorento,21500
2014,BMW,3 Series,30000
2015,Volvo,S60,27750
2014,BMW,6 Series Gran Coupe,67000
2015,Nissan,Altima,10900
2014,BMW,M5,65000
2014,Chevrolet,Cruze,9800
2014,Audi,A4,32250
2014,Chevrolet,Camaro,17500
2014,Audi,A6,49750
2015,Kia,Optima,17700
2015,Ford,Fusion,12000
2015,Kia,Sorento,21500
2015,Nissan,Altima,14100
2014,Audi,Q5,40000
2014,Chevrolet,Camaro,17000
2014,BMW,6 Series,67200
2015,Chevrolet,Impala,7200
2014,BMW,5 Series,30000
2015,Audi,A3,23750
2014,BMW,6 Series,65000
2015,Volvo,XC70,32500
2015,Volvo,XC70,32500
2014,Chevrolet,Camaro,19500
2014,Chevrolet,Cruze,11500
2014,Audi,SQ5,47500
2015,Kia,Sorento,20750
2014,Audi,S5,44500
2015,Kia,Sorento,21000
2015,Chevrolet,Suburban,59900
2014,BMW,3 Series,30500
2014,BMW,M5,64250
2014,BMW,3 Series,27500
2014,Cadillac,ELR,44000
2014,BMW,6 Series,65000
2015,Volvo,V60,30000
2014,BMW,X6,51700
2015,Volvo,V60,30000
2014,Chevrolet,Cruze,13000
2014,Acura,ILX,21250
2015,Kia,Sorento,20750
2015,Volvo,V60,30000
2014,BMW,6 Series Gran Coupe,66100
2015,Nissan,Altima,11500
2015,Kia,K900,40000
2015,Kia,Sorento,20500
2015,Chevrolet,Malibu,9800
2015,Lexus,RX 350,38400
2015,Kia,Sorento,19300
2014,BMW,M5,77250
2015,Kia,K900,41000
2015,Audi,A3,17300
2015,Nissan,Versa,11000
2014,Chevrolet,Camaro,20600
2015,Hyundai,Elantra,10500
2015,Kia,Sorento,21250
2014,Chevrolet,Camaro,19600
2015,Audi,A3,25750
2014,BMW,6 Series,65000
2015,Nissan,Versa Note,9000
2014,Audi,A8,50000
2014,BMW,X1,26500
2014,Chevrolet,Camaro,13600
2015,Volvo,V60,28000
2014,BMW,6 Series,61500
2014,Chevrolet,Camaro,13000
2014,BMW,6 Series Gran Coupe,58000
2015,Kia,Sorento,22250
2015,Kia,Sorento,22500
2014,Buick,Enclave,24100
2014,BMW,M5,65000
2014,BMW,M5,65801
2014,Audi,TTS,34250
2015,Hyundai,Elantra,10600
2014,BMW,4 Series,39750
2015,Kia,Sorento,21500
2014,Chevrolet,Cruze,13700
2014,Chevrolet,Cruze,13200
2015,Kia,Sorento,20500
2015,Hyundai,Elantra,13200
2014,Acura,MDX,41500
2015,Ford,Fusion,12000
2014,BMW,6 Series,67200
2014,Chevrolet,Cruze,10000
2014,Chevrolet,Silverado 1500,30250
2014,Chevrolet,Cruze,13600
2015,Kia,Sorento,21000
2014,Chevrolet,Cruze,3300
2015,Volvo,V60,30000
2014,Chevrolet,Camaro,18500
2015,Nissan,Altima,9500
2014,BMW,6 Series,62000
2015,Hyundai,Elantra,5800
2014,BMW,5 Series,46500
2014,BMW,6 Series,65000
2015,Kia,Sorento,21750
2014,Cadillac,SRX,30000
2014,BMW,X5,57250
2015,Hyundai,Elantra,9000
